category,model,lambda,avg_carbon_kg,AvgPCF@10,NDCG@10,Recall@10,MRR,n_users,pareto_optimal,carbon_reduction_pct,engagement_retention_pct
home_and_kitchen,BPR,0.7,83.47592093955441,83.47592093955441,0.003483743492206284,0.00697870292383588,0.002443900302160439,91421,True,64.70269242181244,100.20781818754855
home_and_kitchen,BPR,0.8,59.982845641832824,59.982845641832824,0.0034138432336050964,0.0067818116187746795,0.002409474708235387,91421,True,74.6366026489504,98.19717864969485
home_and_kitchen,BPR,0.9,39.670252721508184,39.670252721508184,0.0033255165560929414,0.006617735531223679,0.0023463878866357515,91421,False,83.22566440411671,95.65651408554153
home_and_kitchen,BPR,0.91,37.51322239387013,37.51322239387013,0.0033290574006252663,0.006639612342897146,0.0023455848687469433,91421,False,84.13775213041147,95.75836438132806
home_and_kitchen,BPR,0.92,35.09097888016977,35.09097888016977,0.003294776560686984,0.006563043502040013,0.002322744435606907,91421,True,85.16198370965049,94.77229632449868
home_and_kitchen,BPR,0.93,32.307879046882015,32.307879046882015,0.00328423272016502,0.006508351472856346,0.0023245718438835994,91421,False,86.33880128447537,94.46900899683314
home_and_kitchen,BPR,0.94,29.15034490947376,29.15034490947376,0.0032491838397863387,0.006420844226162479,0.002304513759212351,91421,False,87.67394622666092,93.4608487116338
home_and_kitchen,BPR,0.95,25.651387768783973,25.651387768783973,0.0032269711470004807,0.006409905820325745,0.0022783701011351116,91421,False,89.15345989967872,92.82191375987263
home_and_kitchen,BPR,0.96,22.083808125441642,22.083808125441642,0.0032381249143756475,0.006519289878693079,0.0022625050720346115,91421,True,90.66199019875644,93.14274527222058
home_and_kitchen,BPR,0.97,17.61673163855131,17.61673163855131,0.0031590510286023266,0.0063661521969788125,0.002205065419480051,91421,True,92.55086750562954,90.8682317821537
home_and_kitchen,BPR,0.98,11.908590576300847,11.908590576300847,0.003020502869552401,0.006081753645223745,0.0021097797508578403,91421,True,94.96452174874753,86.88297604694976
home_and_kitchen,BPR,0.99,6.036987545257655,6.036987545257655,0.0028641794143219857,0.005687971035101345,0.0020284492309519384,91421,True,97.4472949344884,82.38642444513874
home_and_kitchen,BPR,1.0,0.13891469942354603,0.13891469942354603,0.001523315627980447,0.0036534275494689403,0.0008984771829194881,91421,True,99.94126072743498,43.81727180328155
home_and_kitchen,NeuMF,0.0,106.71365864430486,106.71365864430486,0.015174673427775415,0.032858971133546994,0.009863915813861668,91421,False,0.0,100.0
home_and_kitchen,NeuMF,0.025,105.64562119995401,105.64562119995401,0.015175915879819736,0.032858971133546994,0.009865547893462705,91421,False,1.0008441823841914,100.00818766908056
home_and_kitchen,NeuMF,0.05,104.62918910174898,104.62918910174898,0.015166770296131933,0.03286990953938373,0.009850646485828774,91421,False,1.9533296571751686,99.94791893426176
home_and_kitchen,NeuMF,0.075,103.61053374904016,103.61053374904016,0.015149256485698948,0.03283709432187353,0.009837902374901532,91421,False,2.907898515229389,99.83250419063421
home_and_kitchen,NeuMF,0.1,102.65271969865788,102.65271969865788,0.015150664425244353,0.03286990953938373,0.009830631807529893,91421,False,3.8054537696835937,99.84178241037388
home_and_kitchen,NeuMF,0.15,100.78699559916211,100.78699559916211,0.01513194728323796,0.03281521751020006,0.009821099768157884,91421,False,5.553799879448742,99.71843779873872
home_and_kitchen,NeuMF,0.2,99.10721500061254,99.10721500061254,0.01512637147916139,0.032793340698526595,0.00982206773026169,91421,False,7.127900720793308,99.68169365328407
home_and_kitchen,NeuMF,0.25,97.59082620427472,97.59082620427472,0.015119119868728484,0.032727710263506196,0.009832897620167503,91421,False,8.54888920118288,99.6339060651859
home_and_kitchen,NeuMF,0.3,96.18414238983384,96.18414238983384,0.015124357465221666,0.03265114142264906,0.00986440196523219,91421,False,9.867074550941716,99.66842144713539
home_and_kitchen,NeuMF,0.4,93.4180787331248,93.4180787331248,0.015276849212277448,0.03265114142264906,0.010074145897151552,91421,False,12.459117305214445,100.67333102744084
home_and_kitchen,NeuMF,0.5,90.43027733683726,90.43027733683726,0.015604903220789538,0.032563634175955196,0.010548755513260386,91421,False,15.25894764956277,102.83518320879735
home_and_kitchen,NeuMF,0.6,87.09378554611088,87.09378554611088,0.015937089095043485,0.03257457258179193,0.010989408324265744,91421,False,18.38553128760248,105.02426408645182
home_and_kitchen,NeuMF,0.7,83.20779799237593,83.20779799237593,0.01590555367479959,0.032585510987628664,0.010966763219801362,91421,False,22.02704035317357,104.81644794863517
home_and_kitchen,NeuMF,0.8,52.752990436890876,52.752990436890876,0.016429331630290422,0.03511228273591407,0.010972640442619986,91421,True,50.56584966997922,108.26810677993575
home_and_kitchen,NeuMF,0.9,38.64007921277386,38.64007921277386,0.015328795430407683,0.032957416786077595,0.010173676708991353,91421,True,63.79087765928075,101.01565284660535
home_and_kitchen,NeuMF,0.91,36.27627206179106,36.27627206179106,0.01512742559775811,0.0326620798284858,0.010009370567666803,91421,True,66.0059710044183,99.68864021857088
home_and_kitchen,NeuMF,0.92,32.522997624079814,32.522997624079814,0.014951818319373996,0.0322682972183634,0.009898211188669617,91421,True,69.52311631214462,98.53140095922257
home_and_kitchen,NeuMF,0.93,28.043886077181394,28.043886077181394,0.014698791224601496,0.031458855186445124,0.009799795920599675,91421,True,73.72043425981997,96.86397071120574
home_and_kitchen,NeuMF,0.94,23.09567129874973,23.09567129874973,0.014613912970411853,0.031283840693057396,0.009741770282018145,91421,True,78.35734282550314,96.3046291570456
home_and_kitchen,NeuMF,0.95,20.154167394734248,20.154167394734248,0.01455180228310135,0.03124008706971046,0.00968868862924933,91421,True,81.11378838400474,95.89532422138342
home_and_kitchen,NeuMF,0.96,18.45196674970741,18.45196674970741,0.01430843932333104,0.03068222837203706,0.009549263020566112,91421,True,82.70889876317425,94.29157992382993
home_and_kitchen,NeuMF,0.97,12.012268827348205,12.012268827348205,0.013406804329047903,0.02793668850701699,0.009150874994335468,91421,False,88.74345704200137,88.34987054488013
home_and_kitchen,NeuMF,0.98,9.615709734404566,9.615709734404566,0.013533194836502458,0.02873519213309852,0.009111904753223488,91421,True,90.98924181162658,89.18277484464062
home_and_kitchen,NeuMF,0.99,6.364324525382572,6.364324525382572,0.012481679561676649,0.02510364139530305,0.008749604784979588,91421,True,94.03607316417107,82.2533652607669
home_and_kitchen,NeuMF,1.0,0.15354521497248994,0.15354521497248994,0.005671365979675535,0.013279224685794292,0.0034149225552185486,91421,True,99.85611474958019,37.373891482203376
home_and_kitchen,LightGCN,0.0,224.85739565722324,224.85739565722324,0.006523639545306205,0.012972949322365758,0.0045866819179296615,91421,False,0.0,100.0
home_and_kitchen,LightGCN,0.025,220.2372964589099,220.2372964589099,0.006521142676394404,0.012962010916529026,0.004586560380087031,91421,False,2.0546796714466553,99.9617258296621
home_and_kitchen,LightGCN,0.05,215.7901946135024,215.7901946135024,0.006516749520214805,0.012951072510692292,0.004583734625245875,91421,False,4.032422868377899,99.89438372485866
home_and_kitchen,LightGCN,0.075,211.51731307260917,211.51731307260917,0.0065363257286905245,0.012994826134039225,0.004596739174407325,91421,False,5.9326857120367675,100.19446481210701
home_and_kitchen,LightGCN,0.1,207.30833297931542,207.30833297931542,0.006552488735396818,0.013038579757386159,0.004605880556428024,91421,False,7.804529900657539,100.44222538492903
home_and_kitchen,LightGCN,0.15,198.57879607457807,198.57879607457807,0.006548966138316091,0.013049518163222891,0.004597720158422841,91421,False,11.686784642255997,100.38822796437472
home_and_kitchen,LightGCN,0.2,189.70877241514538,189.70877241514538,0.006557826939787789,0.013049518163222891,0.004609340044305753,91421,False,15.631517539969675,100.52405400764643
home_and_kitchen,LightGCN,0.25,180.31743614724178,180.31743614724178,0.006566414323279042,0.013071394974896358,0.004614939466341223,91421,False,19.808091870760165,100.65568886318395
home_and_kitchen,LightGCN,0.3,170.90025401940474,170.90025401940474,0.006550540538342466,0.013038579757386159,0.004603497546585021,91421,False,23.996160535485235,100.41236173227283
home_and_kitchen,LightGCN,0.4,150.8828093574014,150.8828093574014,0.006557677765025664,0.013016702945712692,0.004619379938234467,91421,False,32.8984448492813,100.52176732762541
home_and_kitchen,LightGCN,0.5,129.36603046969518,129.36603046969518,0.006568263255242591,0.013027641351549425,0.004630735045245934,91421,False,42.46752254175213,100.68403089451031
home_and_kitchen,LightGCN,0.6,107.15390663636367,107.15390663636367,0.006600088631485982,0.013071394974896358,0.004660433685220113,91421,True,52.345838426541654,101.17187783979853
home_and_kitchen,LightGCN,0.7,86.02938530008426,86.02938530008426,0.006578687516094933,0.012951072510692292,0.004666033107255584,91421,False,61.740468865329625,100.84382299798179
home_and_kitchen,LightGCN,0.8,65.54001808816355,65.54001808816355,0.006540915866083096,0.012830750046488225,0.004649417147913117,91421,True,70.85262955367767,100.26482641563669
home_and_kitchen,LightGCN,0.9,45.584240769199646,45.584240769199646,0.006418660262322698,0.012622920335590291,0.0045492395811250344,91421,True,79.72748877751431,98.3907865807969
home_and_kitchen,LightGCN,0.91,42.92671899671848,42.92671899671848,0.006374498650918367,0.012524474683059691,0.004520643463009002,91421,False,80.90935863094458,97.7138391330167
home_and_kitchen,LightGCN,0.92,40.0328629862395,40.0328629862395,0.006344104132865249,0.012513536277222957,0.0044860919906040825,91421,True,82.19633253812725,97.24792562197689
home_and_kitchen,LightGCN,0.93,36.6483710400783,36.6483710400783,0.0062929047726055665,0.012447905842202558,0.00444301550666609,91421,True,83.70150515487347,96.46309746119168
home_and_kitchen,LightGCN,0.94,32.54469504616008,32.54469504616008,0.006192801720744597,0.012316644972161757,0.004350525208424378,91421,True,85.52651783987936,94.92863113812523
home_and_kitchen,LightGCN,0.95,27.625203457772297,27.625203457772297,0.0061207129850955645,0.012185384102120956,0.0042992622826577825,91421,True,87.71434518440984,93.8235925297168
home_and_kitchen,LightGCN,0.96,23.18520190530623,23.18520190530623,0.005963196767825673,0.011824416709508756,0.004200868717774024,91421,True,89.68893069425647,91.40904745597459
home_and_kitchen,LightGCN,0.97,18.921443761892775,18.921443761892775,0.0057657964392056485,0.011496264534406756,0.004044701271268471,91421,True,91.58513612301327,88.38312416194378
home_and_kitchen,LightGCN,0.98,13.210848406646173,13.210848406646173,0.005453185374404334,0.010807144966692554,0.0038406088490314213,91421,True,94.1247881271448,83.59115086804469
home_and_kitchen,LightGCN,0.99,5.969842934446132,5.969842934446132,0.004905089412600437,0.009483597860447819,0.0035202177333088173,91421,True,97.34505377641807,75.18946101382434
home_and_kitchen,LightGCN,1.0,0.14408046214764658,0.14408046214764658,0.0019347536806331802,0.004572253639754542,0.0011623401799072597,91421,True,99.93592362762784,29.657580974492166
sports_and_outdoors,BPR,0.0,297.28070440315753,297.28070440315753,0.0036321750333713327,0.0066122500632751205,0.002738136668233479,63216,False,0.0,100.0
